DATE,PPCEND,PCEND,CNP16OV,SP500,GS1
01-07-07,97.421,2190.6,231958,1455.27,4.96
01-08-07,97.195,2172.2,232211,1473.99,4.47
01-09-07,97.901,2190.1,232461,1526.75,4.14
01-10-07,98.32,2193,232715,1549.38,4.1
01-11-07,99.968,2239.8,232939,1481.14,3.5
01-12-07,100.406,2253,233156,1468.36,3.26
01-01-08,100.89,2251.9,232616,1378.55,2.71
01-02-08,101.243,2234.6,232809,1330.63,2.05
01-03-08,101.642,2275.3,232995,1322.7,1.54
01-04-08,102.078,2289.4,233198,1385.59,1.74
01-05-08,103.042,2311,233405,1400.38,2.06
01-06-08,105.245,2356.4,233627,1280,2.42
01-07-08,106.442,2371.4,233864,1267.38,2.28
01-08-08,105.86,2351.4,234107,1282.83,2.18
01-09-08,106.215,2322.4,234360,1166.36,1.91
01-10-08,103.801,2272.2,234612,968.75,1.42
01-11-08,98.866,2155,234828,896.24,1.07
01-12-08,96.515,2090,235035,903.25,0.49
01-01-09,96.876,2111.6,234739,825.88,0.44
01-02-09,97.872,2140.6,234913,735.09,0.62
01-03-09,97.666,2122.7,235086,797.87,0.64
01-04-09,97.992,2126.5,235271,872.81,0.55
01-05-09,98.422,2135.5,235452,919.14,0.5
01-06-09,100.713,2168.9,235655,919.32,0.51
01-07-09,100.569,2176.4,235870,987.48,0.48
01-08-09,101.422,2207,236087,1020.62,0.46
01-09-09,101.681,2213.9,236322,1057.08,0.4
01-10-09,101.874,2223,236550,1036.19,0.37
01-11-09,102.377,2229,236743,1095.63,0.31
01-12-09,102.535,2246.4,236924,1115.1,0.37
01-01-10,103.021,2259.4,236832,1073.87,0.35
01-02-10,102.846,2266,236998,1104.49,0.35
01-03-10,102.737,2268.7,237159,1169.43,0.4
01-04-10,102.388,2261.7,237329,1186.69,0.45
01-05-10,102.14,2257.1,237499,1089.41,0.37
01-06-10,102.12,2264.1,237690,1030.71,0.32
01-07-10,102.438,2262.5,237890,1101.6,0.29
01-08-10,102.782,2294,238099,1049.33,0.26
01-09-10,103.068,2305.4,238322,1141.2,0.26
01-10-10,103.832,2331.5,238530,1183.26,0.23
01-11-10,104.274,2356.6,238715,1180.55,0.25
01-12-10,105.369,2378.6,238889,1257.64,0.29
01-01-11,105.994,2402.2,238704,1286.12,0.27
01-02-11,106.587,2417.2,238851,1327.22,0.29
01-03-11,107.77,2436.7,239000,1325.83,0.26
01-04-11,108.876,2468.8,239146,1363.61,0.25
01-05-11,109.564,2473.9,239313,1345.2,0.19
01-06-11,109.369,2484.1,239489,1320.64,0.18
01-07-11,109.706,2484.1,239671,1292.28,0.19
01-08-11,110.139,2486.3,239871,1218.89,0.11
01-09-11,110.608,2497.1,240071,1131.42,0.1
01-10-11,110.474,2507.9,240269,1253.3,0.11
01-11-11,110.741,2506.9,240441,1246.96,0.11
01-12-11,110.431,2488.4,240584,1257.6,0.12
01-01-12,110.872,2514.5,242269,1312.41,0.12
01-02-12,111.356,2537.1,242435,1365.68,0.16
01-03-12,111.928,2545.2,242604,1408.47,0.19
01-04-12,112.018,2555.5,242784,1397.91,0.18
01-05-12,111.301,2537.4,242966,1310.33,0.19
01-06-12,110.903,2520.6,243155,1362.16,0.19
01-07-12,110.809,2527.3,243354,1379.32,0.19
01-08-12,111.949,2558.8,243566,1406.58,0.18
01-09-12,113.016,2583.4,243772,1440.67,0.18
01-10-12,113.427,2593,243983,1412.16,0.18
01-11-12,112.444,2566.9,244174,1416.18,0.18
01-12-12,111.914,2558.4,244350,1426.19,0.16
01-01-13,111.797,2581.5,244663,1498.11,0.15
01-02-13,112.9,2614.2,244828,1514.68,0.16
01-03-13,111.999,2587.5,244995,1569.19,0.15
01-04-13,111.25,2560.1,245175,1597.57,0.12
01-05-13,111.213,2575.3,245363,1630.74,0.12
01-06-13,111.968,2591.5,245552,1606.28,0.14
01-07-13,112.274,2610.3,245756,1685.73,0.12
01-08-13,112.404,2602.3,245959,1632.97,0.13
01-09-13,112.269,2626.1,246168,1681.55,0.12
01-10-13,112.05,2614.6,246381,1756.54,0.12
01-11-13,111.897,2618.1,246567,1805.81,0.12
01-12-13,112.277,2641.1,246745,1848.36,0.13
01-01-14,112.282,2613.5,246915,1782.59,0.12
01-02-14,112.263,2634.8,247085,1859.45,0.12
01-03-14,112.147,2636.8,247258,1872.34,0.13
01-04-14,112.619,2654.8,247439,1883.95,0.11
01-05-14,113.141,2656,247622,1923.57,0.1
01-06-14,113.927,2687.6,247814,1960.23,0.1
01-07-14,114.029,2692.3,248023,1930.67,0.11
01-08-14,113.381,2691.8,248229,2003.37,0.11
01-09-14,113.348,2689.8,248446,1972.29,0.11
01-10-14,113.131,2697.1,248657,2018.05,0.1
01-11-14,112.008,2685.7,248844,2067.56,0.13
01-12-14,110.705,2649.3,249027,2058.9,0.21
01-01-15,108.117,2591.7,249723,1994.99,0.2
